drug_id,description,administrative_status,approved_for_hospital_use,reimbursement_rate,marketing_declaration_date,marketing_authorization_date,marketing_authorization_process,pharmaceutical_companies,price
0_train,3 plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s),Présentation active,oui,65%,20140101,20140101,Procédure décentralisée, MAJORELLE LUXEMBOURG SOPARFI (LUXEMBOURG),2.83
1_train,plaquette(s) thermoformée(s) aluminium de 28 comprimé(s),Présentation active,oui,65%,20130101,20090101,Procédure de reconnaissance mutuelle, TEVA SANTE,14.3
2_train,plaquette(s) thermoformée(s) PVC-aluminium de 30 gélule(s),Présentation active,oui,65%,20000101,19960101,Procédure nationale, MYLAN SAS,5.66
3_train,30 sachet(s)-dose(s) papier aluminium complexe résine(s),Présentation active,oui,65%,20050101,20040101,Procédure nationale, SANOFI AVENTIS FRANCE,24.27
4_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s),Présentation active,non,100%,20150101,20100101,Procédure nationale, TEVA SANTE,59.94
5_train,plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s),Présentation active,oui,100%,20010101,20000101,Procédure nationale, EG LABO - LABORATOIRES EUROGENERICS,27.17
6_train,flacon(s) polyéthylène haute densité (PEHD) de 100 capsule(s),Présentation active,oui,100%,20150101,20010101,Procédure centralisée, EISAI (ROYAUME-UNI),877.83
7_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20060101,20060101,Procédure de reconnaissance mutuelle, SANDOZ,6.58
8_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s),Présentation active,oui,65%,20130101,20020101,Procédure nationale, ARROW GENERIQUES,18.63
9_train,plaquette(s) polyamide aluminium PVC de 10 comprimé(s),Présentation active,non,65%,20150101,20120101,Procédure nationale, ARROW GENERIQUES,6.13
10_train,4 sachet(s) papier aluminium polyéthylène de 1  dispositif(s),Présentation active,oui,65%,20030101,20020101,Procédure nationale, PIERRE FABRE MEDICAMENT,6.25
11_train,1 inhalateur(s) multidose(s) avec embout(s) buccal(aux) de 60 dose(s),Présentation active,oui,65%,20120101,20110101,Autorisation d'importation parallèle, MEDIWIN,39.66
12_train,plaquette(s) thermoformée(s) polyamide aluminium PVC de 84 comprimé(s),Présentation active,non,65%,20150101,20050101,Procédure nationale, ARROW GENERIQUES,22.04
